127.0.0.1, 2020-10-29 14:53:03, GET, /admin/mercurial/commit/welcome, HTTP/1.1, 303, 0.007308
127.0.0.1, 2020-10-29 14:53:03, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.068409
127.0.0.1, 2020-10-29 14:53:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000345
127.0.0.1, 2020-10-29 14:53:09, GET, /admin/default/logout, HTTP/1.1, 303, 0.030412
127.0.0.1, 2020-10-29 14:53:09, GET, /admin/default/index, HTTP/1.1, 200, 0.009204
127.0.0.1, 2020-10-29 14:53:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000280
127.0.0.1, 2020-10-29 14:53:12, GET, /admin/default/site, HTTP/1.1, 303, 0.002108
127.0.0.1, 2020-10-29 14:53:12, GET, /admin/default/index, HTTP/1.1, 200, 0.013945
127.0.0.1, 2020-10-29 14:53:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000713
127.0.0.1, 2020-10-29 14:53:19, GET, /admin/default/index, HTTP/1.1, 200, 0.024602
127.0.0.1, 2020-10-29 14:53:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000290
127.0.0.1, 2020-10-29 14:53:26, GET, /admin/default/index, HTTP/1.1, 200, 0.021509
127.0.0.1, 2020-10-29 14:53:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000658
127.0.0.1, 2020-10-29 14:53:34, GET, /, HTTP/1.1, 303, 0.000514
127.0.0.1, 2020-10-29 14:53:34, GET, /welcome/default/index, HTTP/1.1, 200, 0.028001
127.0.0.1, 2020-10-29 14:53:34, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000690
127.0.0.1, 2020-10-29 14:53:34, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000696
127.0.0.1, 2020-10-29 14:53:34, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001339
127.0.0.1, 2020-10-29 14:53:34, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000468
127.0.0.1, 2020-10-29 14:53:34, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.002775
127.0.0.1, 2020-10-29 14:53:34, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.003106
127.0.0.1, 2020-10-29 14:53:34, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.001016
127.0.0.1, 2020-10-29 14:53:34, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.007731
127.0.0.1, 2020-10-29 14:53:34, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001739
127.0.0.1, 2020-10-29 14:53:34, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000459
